Accession,Number_of_N
IMS-10150-CVDP-C5E5FBDF-4BE5-4E1B-A8D5-90D47F1327DD,0
IMS-10036-CVDP-A4575CD8-B4D9-4B5A-9E55-38600E85EBCE,77
IMS-10116-CVDP-4EE32E6E-C355-4ADB-A679-A3AC6059B4C8,121
IMS-10116-CVDP-BA50A35C-E91D-4647-9443-09C3F86E2C47,412
IMS-10116-CVDP-0DE90B01-2DBC-4656-93B2-6E4A33725921,121
IMS-10025-CVDP-00079,159
IMS-10224-CVDP-969B46E0-7AAE-4F3C-AB0D-961B8A543DE8,1210
IMS-10013-CVDP-A472BCA8-5953-4383-BE6C-40F4D0B9F026,483
IMS-10116-CVDP-4F05CF23-657F-4C6B-8C07-B4B781E7CBFD,94
IMS-10116-CVDP-FEA29910-2991-4E04-9D0E-46981955F6C2,257
IMS-10116-CVDP-609CDBD1-3BD3-4D42-919E-0E489786013D,257
IMS-10013-CVDP-6FD4989F-5938-44CC-A83C-1C18DE433480,121
IMS-10116-CVDP-B5C9AD41-4F64-4019-9FB7-EC8DA06B314A,443
IMS-10116-CVDP-7C093894-2D69-4F83-A898-1AD483DD7448,257
IMS-10036-CVDP-7C09A678-8B0B-4B43-9654-3E9BED01F985,428
IMS-10150-CVDP-6548E12C-6D6F-4323-B6D3-30DC24199150,472
IMS-10116-CVDP-3448839E-382F-4269-AF9F-0FF1542FF0EA,259
IMS-10116-CVDP-1758601A-9C16-43F3-9DAE-A7C0366F0F29,251
IMS-10116-CVDP-25894E23-7921-402B-A2D1-485C12EEE82F,259
IMS-10116-CVDP-98C1626C-D14C-4B06-8809-6EB1546BCD35,458
IMS-10116-CVDP-749363CC-EC4F-46A7-9DEF-393440B3F3FC,259
IMS-10116-CVDP-DF2D4E3C-F9CF-4F60-B0C9-4615A36E1EC9,121
IMS-10116-CVDP-6FEC7C47-EA95-437E-934C-BC1CD833AB65,259
IMS-10116-CVDP-3CD41130-87EF-4757-AB5B-D57EBA065EA1,690
IMS-10116-CVDP-ED2B3CF5-9343-4D37-AA5E-1842F1A11708,125
IMS-10116-CVDP-E9AA18B7-02FE-4AA2-A391-5E33F995EB88,253
IMS-10116-CVDP-69BC6A03-6E5C-4E9A-8F3D-97D42E3B8863,1120
IMS-10116-CVDP-CFDFFB05-DD59-4135-A17D-78663E2F130A,259
IMS-10116-CVDP-E564F9FB-0976-405E-8F1E-B6E5301F2B56,259
IMS-10116-CVDP-FAA89100-0419-4DFE-8828-442E7F5D9E2D,339
IMS-10116-CVDP-8079D080-3E35-4334-A277-1893611AC9F8,259
IMS-10116-CVDP-ED2D9100-F4F4-414A-BF59-95E48A1EB2DE,600
IMS-10116-CVDP-50002057-C658-4014-A747-55160C7450FB,123
IMS-10116-CVDP-6415B56E-8A60-4095-80FB-7E15D9862698,657
IMS-10116-CVDP-34992E8A-6FAC-419E-B0D4-A2D6C72F4C20,558
IMS-10116-CVDP-BAD5B2A2-EF96-43AB-A077-CA480CC6DCC3,414
IMS-10013-CVDP-38A538EE-502A-4CC7-A1BB-9D47EFECDE27,403
IMS-10116-CVDP-2EA3941F-0F64-4F9C-AF04-5D3028E6C378,1170
IMS-10116-CVDP-E01D2561-CF96-44B8-939F-A3E559063512,259
IMS-10013-CVDP-2B309928-914A-4C8B-88CF-E79D594523B1,744
IMS-10013-CVDP-6AA6A4E0-F0EB-4C9B-9575-C30C2F243811,223
IMS-10116-CVDP-D0E93DE5-4E86-4ECD-8128-9F15AE73CFD3,259
IMS-10013-CVDP-025D9CEC-9B7F-4BDF-9B7B-B46B0E7CC6A1,250
IMS-10013-CVDP-DEC6F223-0FE7-4446-904F-67047CDD1698,33
IMS-10116-CVDP-8A75A0F4-0C1B-41BF-A031-715ACB8E3D0F,616
IMS-10116-CVDP-FE340C53-B524-4B0C-AAFF-E6DE0C3EC1A6,259
IMS-10116-CVDP-D9FD6D85-C377-4F51-B7D1-11FF5926C6A7,424
IMS-10013-CVDP-E774D7E8-39D8-4CE3-A9F6-4D75736AAD17,749
IMS-10116-CVDP-30224F91-E2A8-420B-B958-53EE1935AFAB,72
IMS-10116-CVDP-907147F7-DBD0-4EC4-8835-7074D874BCC9,435
IMS-10116-CVDP-BE6348F5-9DA3-403B-BCCB-61ABBC4D10B0,129
IMS-10116-CVDP-248BBDC3-E40B-4B59-8074-62932A7086C5,121
IMS-10116-CVDP-0B7230F4-63EB-4CBD-ADA7-64756623DF01,105
IMS-10116-CVDP-E0124020-DFB5-4200-90EC-25EA4983A014,256
IMS-10116-CVDP-F73B53E9-8D7F-4947-936E-C9A1FE8AAE29,256
IMS-10116-CVDP-10CAA87C-55E9-45DE-BCDE-103F66252C0B,259
IMS-10116-CVDP-A7369E37-57C9-4820-949A-1615D749D094,1166
IMS-10116-CVDP-09A37106-A268-4ECA-9F55-3928FABD7B68,251
IMS-10013-CVDP-1A5B35B3-BE7F-4DE2-BFA9-ED0DE023857D,41
IMS-10013-CVDP-3A987567-811D-4AD6-B7B7-FE55CB015443,33
IMS-10116-CVDP-89EB7C86-4F2F-4692-A55C-37A1C9147ABD,253
IMS-10116-CVDP-DB5781DD-0E1C-43F0-88A3-FF724D825E42,413
IMS-10116-CVDP-B4A143D2-A3A1-4947-ACB7-5688CDBDB791,538
IMS-10013-CVDP-6C0A9E9B-F258-496D-AA1E-B12BCBE92971,24
IMS-10116-CVDP-49B4D3F4-A610-4EE6-A4BC-A5C4ECA91461,121
IMS-10036-CVDP-7618178E-55E1-4AC9-A037-A6148A71301B,357
IMS-10116-CVDP-C0085CFD-06AA-4163-BCF6-43BDECC8D115,630
IMS-10116-CVDP-1D3251B4-2BE5-4A44-91C9-FF5CD4DF5FD8,424
IMS-10116-CVDP-F7C586A0-C892-47DF-99E0-F16F40F488DF,1050
IMS-10116-CVDP-12FAF48A-D120-4D16-9BED-4419478074F4,257
IMS-10013-CVDP-90685404-47D6-47A7-BE60-73A4FC0778E1,242
IMS-10116-CVDP-02BFB96D-82A2-4513-B378-A6D01012C88F,424
IMS-10116-CVDP-F6498F30-DC0B-4F38-8256-AD93AE53323C,424
IMS-10116-CVDP-A3F91586-B896-4DC7-81F3-6806B87E86E2,386
IMS-10013-CVDP-D10149CA-9302-43D5-BA57-DC5959B94C75,35
IMS-10116-CVDP-258A12A5-4B19-444D-9F06-4A8F0F9F3C40,389
IMS-10116-CVDP-54402D78-0BDD-457A-8BDF-58F6878B7C10,439
IMS-10013-CVDP-E9B0C59B-2731-4036-AC7F-786DB3ABD614,463
IMS-10013-CVDP-ED704212-B38E-406C-858B-C8F38894B4F7,17
IMS-10116-CVDP-A370E6FD-BB5C-4C76-88A8-75837A9572C6,121
IMS-10036-CVDP-D913FD0F-AEE5-4CCF-AC23-EF7B436C0CF4,105
IMS-10116-CVDP-B6747667-9D28-44A2-9742-E010F6E796F8,186
IMS-10116-CVDP-56B173C7-77D1-44AE-AB41-CB511B7C97F9,251
IMS-10013-CVDP-7FDB6DC5-27D5-4D76-B134-A458A8E61050,14
IMS-10116-CVDP-13EA0A78-C963-4946-BD89-8B2D305A1486,791
IMS-10013-CVDP-3FB543BD-76DF-42AE-A808-4800D546D134,29
IMS-10116-CVDP-37DA5FA6-BFD4-4D79-A877-E0E158E6A916,235
IMS-10013-CVDP-01790,33
IMS-10116-CVDP-1B598CAC-3549-4DE0-823E-D46E5AD2D5A4,121
IMS-10013-CVDP-76C8B6FF-DB48-4BE6-BDAB-95A282E5A1D6,179
IMS-10116-CVDP-725F7C4B-6C20-48B2-B8A0-379E6CD42FFD,182
IMS-10116-CVDP-27BE45B4-4B6B-41DA-90D9-85C375399BA0,258
IMS-10013-CVDP-CA6206FC-2A61-4833-93D8-B701CFC26D7C,119
IMS-10013-CVDP-28EF2C2E-F913-4123-922B-C9EBF61FBDDA,9
IMS-10116-CVDP-82F0D630-7E88-4FF8-A6CD-351C2CBDE5C6,424
IMS-10116-CVDP-8370B990-E58C-4CE3-8F16-AB012A69EC25,123
IMS-10116-CVDP-C271508A-F661-425A-94C4-84F5AA6F213B,429
IMS-10116-CVDP-4F406EED-EBDC-4EC7-89A2-BED7E81E42E3,124
IMS-10116-CVDP-F6DA6C17-F4FF-4B08-87A6-F00C2E8FBBE3,425
IMS-10013-CVDP-A04CA67C-95B9-4B2A-AC5A-68C78789E864,471
IMS-10116-CVDP-67B1BEA1-3339-4656-92DA-F93BA37427E9,121
IMS-10116-CVDP-902C2F2B-4007-4BAE-A7E9-F510DA303D4D,259
IMS-10116-CVDP-BDCF27E9-94C2-4924-8E80-C9C89432AC11,416
IMS-10013-CVDP-82C2DD1F-3080-4F06-84F3-C7DFB01C0244,32
IMS-10116-CVDP-7A3BE5C6-9BAB-4811-BCFE-E283FC4A78EE,892
IMS-10116-CVDP-11B5065A-B12A-4158-B073-B769A0DC3F37,666
IMS-10116-CVDP-C62CCB43-AFB8-44D5-9556-E24A34E10F16,560
IMS-10013-CVDP-3BB30F5D-5186-465E-9345-95ADB4BA8411,268
IMS-10116-CVDP-F5B24153-F6F3-49EC-A649-1168F9653BEE,259
IMS-10116-CVDP-BDA06419-ECBA-4C13-81F8-F3380CD9EDE5,413
IMS-10116-CVDP-6227E1CF-A352-4F2F-A372-3DC6E7F24B42,257
IMS-10116-CVDP-E8D72CEA-9537-4EF2-B65C-556CE94EC522,639
IMS-10224-CVDP-9AB09F58-B91A-471C-954F-6C8C30CA9439,844
IMS-10116-CVDP-0C754D67-D4F6-4CC4-8333-8DF5509546A5,422
IMS-10116-CVDP-076C63B0-394B-4914-B606-28A0A14CFDB6,388
IMS-10116-CVDP-2F66664E-6BAB-40A0-B5A8-46E5BBF0136D,125
IMS-10013-CVDP-1BA612CA-D231-4CC5-8B79-9FE507CC0E87,39
IMS-10116-CVDP-9D396078-1B71-4C9F-9D9E-603B23DD380E,422
IMS-10116-CVDP-7406296F-2BFC-4EAB-89B8-EB760016244C,253
IMS-10116-CVDP-BA0E748D-6C0B-405B-9215-7BF157998068,256
IMS-10013-CVDP-CCF9C55A-705D-48A7-AA1C-F7A1E45C9651,66
IMS-10036-CVDP-5F12437F-BFBA-4393-8FEB-07BA4649CB30,65
IMS-10116-CVDP-8E3665AD-0FE3-42AC-9334-036845825ADD,121
IMS-10116-CVDP-484E305E-6641-4896-8BCF-23FAB5757763,123
IMS-10116-CVDP-8BBEA247-ED4E-4175-8CC9-162C345016C4,121
IMS-10116-CVDP-7F175AC9-699B-4CB7-8EBE-A612D692D957,126
IMS-10036-CVDP-B6446A68-DD65-4A91-B9B7-A2EB9A982E92,268
IMS-10116-CVDP-174B7D25-3390-4139-998B-55398AFF44B7,126
IMS-10116-CVDP-98A21B57-E448-45A4-A97C-274F5D130E48,256
IMS-10013-CVDP-82283545-778A-44CE-9978-A26556C62B68,402
IMS-10116-CVDP-E20D53AD-3410-4BA5-9B1E-51C279941842,1162
IMS-10116-CVDP-8BEF96E3-0508-42FA-B94F-A533304D9017,253
IMS-10116-CVDP-F162FC24-B657-4550-8514-E9478D67D797,351
IMS-10116-CVDP-22F21E30-767B-4245-8A4F-C21C4491DB7E,395
IMS-10013-CVDP-EA868E78-B41F-43CE-A119-22651987E624,34
IMS-10591-CVDP-000024,138
IMS-10013-CVDP-0B9FF82F-EBF4-4CE4-A112-C1144E70A381,261
IMS-10116-CVDP-B5085AA6-7B81-4C60-AFD0-6B7BDF2A5749,445
IMS-10013-CVDP-04FD5FAB-E48A-425F-832D-A7FE0E3FA644,36
IMS-10013-CVDP-F8A598DA-806D-44DA-9653-6611E36554D7,250
IMS-10013-CVDP-59E7CFF5-A991-47FE-A0AC-DD697D2377E5,226
IMS-10116-CVDP-FD638E3C-4D8E-4C8B-AD17-1D0356954A2F,259
IMS-10116-CVDP-58794E71-F19A-4855-A763-F7C533C07394,213
IMS-10116-CVDP-684C07A5-ECB0-493C-98EC-F8589B38D425,246
IMS-10013-CVDP-644A0F8F-9A5E-4862-B708-3F10E60D50E4,232
IMS-10224-CVDP-48C5914C-3083-4E82-ADBE-8FBBF033F302,1272
IMS-10116-CVDP-FC501A97-B30E-4167-8C73-E3771E1AAB54,251
IMS-10116-CVDP-31AE78FC-711C-4164-B493-17B1E902851A,256
IMS-10116-CVDP-7BCACE2B-D2DB-43EE-A8DD-DCAAD9AEB624,601
IMS-10116-CVDP-FD34E57C-50D3-413C-B9B9-BAF3ADDF4EF8,267
IMS-10116-CVDP-0A610394-3136-4226-80A6-837B919DB4D2,669
IMS-10116-CVDP-02678A38-EAD9-4234-B887-2B625BBE1B2D,251
IMS-10116-CVDP-A2C083A1-6181-42B9-9B47-E7CF6D635C3C,418
IMS-10116-CVDP-8C0B1432-698D-46F3-8004-E82CE2A4F49D,221
IMS-10013-CVDP-1BA5E647-719D-41F1-8838-4ACC96253A71,41
IMS-10116-CVDP-C80E3A92-1F3F-4EAD-A241-27E1FC8620AB,179
IMS-10116-CVDP-A9682FF4-F5CC-4B9A-8ABB-44B64D603FD2,125
IMS-10116-CVDP-02C9DB2E-C584-4656-B1D3-8A3B700533CA,714
IMS-10116-CVDP-5592BE6D-B659-401E-BE16-92B320CD0D66,269
IMS-10116-CVDP-A787E9E4-862D-4899-8A9E-CF74F3444502,638
IMS-10116-CVDP-45342179-6F06-411D-93D2-60C95141DC13,121
IMS-10224-CVDP-A58AF82D-BE78-4CC1-881F-65B546F07E53,839
IMS-10116-CVDP-50980327-2698-4E5A-B061-223F65C5BB21,259
IMS-10036-CVDP-DD0BC007-B91D-408B-BBBE-6884E394A9D5,87
IMS-10116-CVDP-FE35382B-BD12-4172-AA4B-1FC448421B52,493
IMS-10116-CVDP-B10939C7-09A4-4474-AC7B-26AD2807A76A,668
IMS-10116-CVDP-0C8C53BE-0B51-4343-BFCD-DA769BEEF7E7,121
IMS-10116-CVDP-4A06182E-B0DB-4358-B2AC-DE66B27F3719,136
IMS-10025-CVDP-00605,407
IMS-10116-CVDP-81638D50-56C1-49FB-8E63-C1EE8E366F5D,826
IMS-10116-CVDP-BCA1446C-A0DD-49A4-B5E0-F88C84B1B07F,1950
IMS-10116-CVDP-0C1E9D36-E62F-4A2C-A5B4-61D1BC189CAE,667
IMS-10013-CVDP-1BC6EAB0-E069-4A9A-920D-5007501987B7,232
IMS-10116-CVDP-A5874EB0-26D6-4344-8867-CCB6B34F9D62,259
IMS-10036-CVDP-3248E6C1-AD51-41AD-8CE5-D264FCA58270,56
IMS-10013-CVDP-2F3D196B-FFB5-442D-ADFA-B8A681B3C08F,239
IMS-10318-CVDP-90AC18BF-3665-4E7D-B0CC-E154FFDC91C2,5
IMS-10116-CVDP-912FFBFB-6F08-4369-9A44-461DA3524AFF,416
IMS-10116-CVDP-7DB9F9C0-CAA5-48F6-9AD2-B62643413ED1,793
IMS-10116-CVDP-91A9930F-770E-4CEE-8162-1FD9CB0F8A6A,121
IMS-10013-CVDP-1CB8DE33-1EAA-4774-915F-6F046082A8B3,33
IMS-10116-CVDP-26F151C8-06DE-4995-9A74-B10BBC774933,127
IMS-10116-CVDP-AD5D1729-4568-4F40-B515-FB20718878EE,792
IMS-10116-CVDP-97ADD880-EB01-49A2-93BD-89E1E5C99884,416
IMS-10116-CVDP-68E76F5B-96F0-4F49-8435-BD05C4E0FAC0,257
IMS-10013-CVDP-E49C93FB-08A9-4BD0-AECE-2A1F792FEBCA,16
IMS-10224-CVDP-3EACDCFB-8167-4DD5-A630-7C335526A649,605
IMS-10013-CVDP-F50DAEDA-5CA6-45CC-9841-6D08EC2CD107,108
IMS-10036-CVDP-09DA3AA9-A9F4-4E49-A70C-4836787915C8,85
IMS-10013-CVDP-EE5F8D16-2C1E-42AD-A1FC-DAD58EE5E7DD,583
IMS-10013-CVDP-7D6960D0-A40C-4BD0-A2C5-9D12D5913D04,30
IMS-10116-CVDP-72194F0B-4D5A-4A4F-97D3-ADE93C5B0EF8,259
IMS-10116-CVDP-3623105A-26BF-4613-BA87-9B92B35A61A3,259
IMS-10116-CVDP-AF98998E-94AF-4B8D-9877-1C7A7FFA1435,612
IMS-10150-CVDP-CAF19878-C60E-453C-A46F-D1E9D2C902EC,0
IMS-10116-CVDP-DFE51772-6657-4CDE-BBCD-50AA2CB5ADA4,149
IMS-10116-CVDP-200A0B35-CD6F-46BB-86DB-F74078D1B34A,259
IMS-10013-CVDP-C34DD283-7630-45A1-831F-677D2AEE5BA8,142
IMS-10116-CVDP-55E8F4E7-3EB2-41A0-9E0C-3DB0C511ACEF,416
IMS-10116-CVDP-3C187EB7-C719-4F36-A69B-EEFD1AD4AAF9,439
IMS-10116-CVDP-C1C9DAFE-F5A2-4D59-8205-132363370DA0,871
IMS-10013-CVDP-5FF335A5-27EB-4457-AABC-2AFD56D59FE1,230
IMS-10116-CVDP-8C696DCD-CC29-40A1-A678-6489C79D0310,253
IMS-10116-CVDP-D53C6CE7-9780-48E8-9BEE-9F969E533E6E,382
IMS-10013-CVDP-438D4954-51EF-4D23-8E00-201B58D91D62,100
IMS-10116-CVDP-B66100DB-CCE4-4100-8C8C-668AF343C741,480
IMS-10224-CVDP-8BFBBF73-78FA-4723-9382-0B9573C77798,535
IMS-10020-CVDP-D4D9508F-D310-4A40-9AA1-0F033A55C832,143
IMS-10013-CVDP-D2FEC16C-6383-4148-A7DD-26D767933796,303
IMS-10013-CVDP-45921E50-D7AA-4BFC-A886-CFF73C56AB17,88
IMS-10116-CVDP-9F9A48C0-ADAE-4ADE-AECB-F7E03A21F008,253
IMS-10116-CVDP-4A797C4E-92A6-4696-816A-4020FA04246F,1244
IMS-10116-CVDP-F05CD28D-ECA4-4468-B4CD-3CE928728797,121
IMS-10116-CVDP-3704B162-0D71-4297-B292-06268E33DE7A,123
IMS-10116-CVDP-F64EB719-68DD-496F-8EFF-9D8D31FEF918,255
IMS-10116-CVDP-3EA7AA05-BD22-4B3F-888B-DC9778C897DE,501
IMS-10116-CVDP-3F358C16-8A68-427F-A5A8-8B1135A5B642,610
IMS-10036-CVDP-20D58557-0D5C-462E-BDA1-54B52731D614,263
IMS-10116-CVDP-1CD702AD-E6C5-43CA-9084-4C9FACE5965A,377
IMS-10036-CVDP-925AAADA-5144-42D0-9573-E5AE58C6E9FC,351
IMS-10116-CVDP-0046D582-DAC1-4971-A1FD-F922B3262797,559
IMS-10013-CVDP-93587884-9FA8-4C6F-9089-3E00F32FC166,429
IMS-10116-CVDP-38C76DB5-80F3-45E3-8C0C-2F1338DE9DDC,259
IMS-10116-CVDP-0E4F6559-0C4F-4051-ABAC-756021A80CA3,259
IMS-10116-CVDP-6E522117-9D65-4D54-99F2-EDF462622502,304
IMS-10013-CVDP-EF178FFF-54AF-4401-A35C-6ECC6D2DF2CB,30
IMS-10116-CVDP-378204F4-1A3D-4920-9424-7003D0BABA5C,432
IMS-10116-CVDP-A3966AAB-0F4A-4EF5-AD01-54597EC799DA,670
IMS-10116-CVDP-AAB00DF2-E2B6-4EDB-B73E-F872B5931710,1252
IMS-10116-CVDP-47992B4A-04EA-4562-BEE3-C052CA0ABE44,442
IMS-10116-CVDP-617F0039-5260-4B66-8F9A-EF6EB7CE0892,259
IMS-10116-CVDP-F00654E1-0B86-485D-804B-5312003C90F6,690
IMS-10116-CVDP-C8AC0B7A-226B-4E40-9674-692B42F03833,425
IMS-10116-CVDP-BC90296E-543A-4057-9A50-DD95D63DC30E,424
IMS-10116-CVDP-CD07A72F-0FD2-4923-95C0-2AAF1019CFCB,604
IMS-10013-CVDP-72FFFB3F-8235-40E6-AD97-0735332C5549,249
IMS-10116-CVDP-53A8DD56-6480-42E7-95BF-7795683A1D3F,314
IMS-10116-CVDP-59C87DA2-FE6A-454D-A7E0-D10081D99A4F,258
IMS-10036-CVDP-6BDBC328-F7CE-4877-B65D-C5E25222FF2D,99
IMS-10224-CVDP-8115306F-7F46-471B-8A58-1A22FA9FE51A,974
IMS-10116-CVDP-2AC08BC6-19F0-46CE-97C2-FE857495E125,258
IMS-10224-CVDP-0AF55738-8863-4132-B2FC-7D208129C7FC,720
IMS-10116-CVDP-36C64B1F-8702-465A-A791-D475D4A45947,564
IMS-10116-CVDP-F35886D4-3B8B-4E5F-A4BB-1276F1A51334,155
IMS-10116-CVDP-E52C4E20-BD75-4207-8CCA-CCA06BBA0E57,258
IMS-10116-CVDP-7614A6C7-A17C-4F76-8485-142E78F87AA2,690
IMS-10036-CVDP-3DB607A5-7547-4359-B3CF-BA43E42BA55E,267
IMS-10116-CVDP-3B1CB2DB-CAB9-4865-B7E4-5AC4215563E4,420
IMS-10116-CVDP-83A0295E-B664-4092-8E7C-E5FA9A3F9A7E,825
IMS-10116-CVDP-86052677-84AA-4E62-BF68-838004C378C9,460
IMS-10116-CVDP-BB42D4C9-B669-4F1A-B774-5EBA1049D437,434
IMS-10036-CVDP-7409A128-23B3-4110-BCF0-A7D434678798,261
IMS-10036-CVDP-1442CAE1-44A3-4CD2-9FB1-47DBE167C370,268
IMS-10116-CVDP-0866BD02-6CE7-40D4-B323-019FCC05BD4F,259
IMS-10013-CVDP-58F8A861-0D6D-481C-BB52-8B7633C9066A,111
IMS-10116-CVDP-FDF5AF7F-894D-4396-BAE3-63D161C658CE,259
IMS-10013-CVDP-D6480435-2D53-467C-80AE-CF2291C8FB38,7
IMS-10116-CVDP-C7A42876-28F3-4CED-A027-55D506FA85D7,421
IMS-10013-CVDP-301F8C04-8643-411A-9408-C53653BC6E0E,32
IMS-10013-CVDP-F0E5B041-6353-4511-B2D3-42B3A5127126,37
IMS-10116-CVDP-9F22D517-C39D-4027-8887-955E1A26D605,253
IMS-10116-CVDP-4F663316-CD61-4CD0-A509-D0C70B6B6982,259
IMS-10116-CVDP-6AAAFC5F-4C2B-4E8F-BCE8-0A197C3BDFC3,259
IMS-10116-CVDP-1E880472-367A-43E4-8625-F89A768DF27F,195
IMS-10116-CVDP-A4E9BB1F-62EE-47ED-90B5-BFA855A221B4,259
IMS-10013-CVDP-246E575B-CE81-4BB2-B91A-158E365F53AA,34
IMS-10116-CVDP-F59104F6-2637-4553-B954-BFD6505A13FB,389
IMS-10116-CVDP-EF46A382-91F1-4528-BFC3-5AAC0C2FD190,445
IMS-10116-CVDP-B8E34C28-2723-4084-98DB-50FFB593B3B7,450
IMS-10116-CVDP-1771A707-C929-486B-AB8E-3822279875BA,344
IMS-10116-CVDP-108EDD1E-7534-4FE4-AFEC-57CEE471D38A,123
IMS-10116-CVDP-448E38A2-63C8-41EA-AFEF-E20E8ECA78C8,664
IMS-10013-CVDP-01470,30
IMS-10116-CVDP-15099588-59F6-4CA5-8CE3-0E6E40C7F25B,382
IMS-10116-CVDP-08EE1ACD-0A6D-41B5-971E-F62F9D3F9164,259
IMS-10013-CVDP-DA902208-B09E-4E55-8FED-2616860CD80E,31
IMS-10116-CVDP-0724E08D-E476-415A-9E3E-88388550590A,121
IMS-10318-CVDP-396473D6-0B10-4253-949C-E1A8F70B47D7,221
IMS-10013-CVDP-43778EFB-A9D6-47E6-8E47-DDC366B07F1B,33
IMS-10116-CVDP-96EF5C69-78E0-4023-B3A1-2F44AB8DA306,261
IMS-10013-CVDP-AA5C1784-C861-4746-B4FE-1FEE7B50AED0,254
IMS-10116-CVDP-E635E406-DA99-4E5B-B3FC-2ECD9BBEB62B,101
IMS-10150-CVDP-AFDE5FA8-5E62-457F-836E-2AC55EB8A813,0
IMS-10013-CVDP-CDD7EC7F-098B-4192-AF6C-99DBA64B2B9D,37
IMS-10116-CVDP-B03FCED1-362C-49CE-9863-D9D7693DCB64,121
IMS-10116-CVDP-2AF6BE84-8DFF-4BC4-87E0-1766F81623A9,439
IMS-10116-CVDP-EAC564DB-72E8-4FCC-B25E-37B6AB603646,257
IMS-10013-CVDP-2B9A2C5D-5B3D-481B-B1EB-A7D1E8586880,172
IMS-10013-CVDP-2611E7C8-C42F-47EB-8434-335CC2C508DE,35
IMS-10116-CVDP-E67B2ED3-4349-49B6-B513-7A8D044BEAD9,352
IMS-10013-CVDP-9B3A78A4-87FB-4448-8FDF-0BD1DF9B2950,485
IMS-10013-CVDP-7BF55388-C6F9-40B6-AF7F-FD454C79DCD7,53
IMS-10116-CVDP-FD2FD8D6-DF96-4694-AD1B-78238B3DFAC4,247
IMS-10013-CVDP-7383974D-2AB5-4351-8C65-D7F81DA233A6,95
IMS-10116-CVDP-F351604C-8D60-4141-A6AD-42BFCD58F24D,435
IMS-10116-CVDP-17BA8F5D-A7FA-41EF-9B36-71E3ADA5997A,690
IMS-10116-CVDP-F9A576FD-4BA6-480F-B575-AFC3BF3BD60A,121
IMS-10116-CVDP-686E8AAF-B5F5-41A3-816D-7A7EA49C26BA,424
IMS-10013-CVDP-97BC36F3-C120-4E24-AB02-B72C1B176C11,239
IMS-10591-CVDP-000022,141
IMS-10116-CVDP-26224C26-3C0A-4A75-B8E3-FF5BE1C84529,132
IMS-10224-CVDP-CA8E9661-34E2-4ACA-ACE6-D3510C19C089,1037
IMS-10116-CVDP-5BEE92B8-ECE5-4327-966C-72748480E7D5,1145
IMS-10116-CVDP-32BB6262-85B5-44CF-B60D-F39CAF82D30A,235
IMS-10116-CVDP-040F8F2D-24EE-4512-84EA-C139C082C559,259
IMS-10116-CVDP-435BAD68-0BE4-4AEA-86E9-1E130A548E45,667
IMS-10116-CVDP-8E2485EB-B939-4A39-86AD-0E4DC9E49210,506
IMS-10116-CVDP-B44C8D72-3FF7-40CB-AC43-8AEAAFA6ABD0,123
IMS-10013-CVDP-9688C74D-B3DF-48AA-8EC5-EC2315A384C5,16
IMS-10013-CVDP-A08EABDF-531C-4492-9D1F-E608C96E790B,221
IMS-10013-CVDP-B3E8AD92-9234-47CA-8C1A-6ED46279AE8B,31
IMS-10013-CVDP-DA43A4ED-65AA-4361-8A15-65FC1A437D9A,393
IMS-10116-CVDP-4766C39E-E622-4BD9-84D1-A3FF76D77029,259
IMS-10116-CVDP-B1773CC6-FDCF-4F59-A4CB-B4E9FA07E9EF,895
IMS-10036-CVDP-07266A42-9D5F-4855-9FB7-51BA50051BE8,435
IMS-10116-CVDP-DA826C86-BA32-49DD-B485-A290C3EEE77E,416
IMS-10116-CVDP-6CFD782E-0062-43C5-B71D-0C158D33310B,823
IMS-10013-CVDP-01823,21
IMS-10116-CVDP-73EE9574-7227-4812-9D0D-446546667BAD,153
IMS-10150-CVDP-ADF1326E-98F3-4B66-8EF3-7786730C173C,5
IMS-10116-CVDP-60E51208-962E-4F46-AFBB-342F41457D63,424
IMS-10013-CVDP-B02A8F11-EBF6-493C-A7F6-33A434F75188,37
IMS-10116-CVDP-89E5B848-F1D2-4F76-85D0-A02CB087F982,99
IMS-10116-CVDP-BB953A9C-4077-4986-BFFD-E2130DED967F,646
IMS-10013-CVDP-7A7E30C1-FE9D-4F82-B020-F5366A656A7C,77
IMS-10116-CVDP-4F427699-9050-452A-B6F6-30A0243F1DEB,163
IMS-10116-CVDP-E8CA7EE2-3819-4BA4-B107-B7DCFFB6CDB7,233
IMS-10013-CVDP-8A77293D-25AE-44DF-90C2-7840BFF0C8B8,32
IMS-10013-CVDP-F0C462A3-D377-48BB-ADC5-4D37551CB322,33
IMS-10116-CVDP-D1778D2E-569A-4454-BB68-A5048E6DC956,690
IMS-10116-CVDP-AFF91DEA-556A-467A-995E-BCD44D9F9E91,522
IMS-10116-CVDP-47AA4827-38AB-49BC-A8EA-DE8051620FB9,239
IMS-10116-CVDP-30FE003E-43A1-4197-AA37-73FE47D8575C,417
IMS-10013-CVDP-44E1AB94-8F9E-4633-B54A-DB174288E6F4,51
IMS-10116-CVDP-68182717-0F3C-4D56-8B66-0C571297ABE2,259
IMS-10116-CVDP-D8817991-A71A-41A7-9DA3-3A7B67CFF9C2,121
IMS-10116-CVDP-96E3EA49-1B78-4116-BE92-DD9F4B588D47,259
IMS-10116-CVDP-6B8868B2-50B0-4486-9636-39DC59EBF1AF,249
