Accession,Number_of_N
IMS-10225-CVDP-29CB7EEB-DADA-43EF-8D58-91C1B369936C,917
IMS-10061-CVDP-55144016-54CE-4440-B755-1DDC79072F56,290
IMS-10087-CVDP-B13BCC3B-471A-4747-B6AC-29A418AAC082,745
IMS-10116-CVDP-4F3CCF35-F154-4C3F-8E7F-E1508FE9B017,259
IMS-10267-CVDP-F33EDDDD-1F95-4211-A8EF-6D89108CA1AB,411
IMS-10116-CVDP-907126F4-EC6D-4C5E-A7D1-C94914F4D7B0,257
IMS-10186-CVDP-E43D2214-81D9-4AAF-9B6E-6D071154AF86,21
IMS-10594-CVDP-B70C8319-B660-41FD-AE9F-CA5F4704DFE0,448
IMS-10087-CVDP-A5280399-D493-45A0-9E74-E76C57D0078B,249
IMS-10013-CVDP-A8BC8133-2DC5-4AC8-A513-258D4CA0FDBE,18
IMS-10087-CVDP-60CFDA4F-207E-4BBD-BD2A-0F296E6B5D3C,194
IMS-10186-CVDP-5B5C9422-595F-4801-A4D1-8230B024F44A,897
IMS-10087-CVDP-0F9CDACC-61C3-4C9A-BC47-33718EE111EA,549
IMS-10087-CVDP-CDA8F795-BFBE-47E0-9789-DAF5119C88C6,156
IMS-10594-CVDP-758DE4E5-30C8-457B-9C84-C3E43D9935DC,121
IMS-10061-CVDP-802534DA-114A-4D90-9203-B12FC5287CBD,0
IMS-10267-CVDP-8324329D-3CEB-44F8-A9C1-09B8DCC3FBEC,184
IMS-10186-CVDP-20567F75-0233-439C-B635-CA111FA8FC22,1006
IMS-10013-CVDP-C03B3505-8868-443D-A455-542C9DA3506B,158
IMS-10186-CVDP-4E971011-87D0-43EC-BBEF-4B037F77EC3A,512
IMS-10061-CVDP-92E476A1-9469-4AFC-9DF1-0938DFC08324,0
IMS-10267-CVDP-B8CD31E3-0BBC-42CE-8291-7BD68D11FDC3,543
IMS-10116-CVDP-0A9885D7-FC96-4083-B057-E056AB201E4D,253
IMS-10116-CVDP-DE08626C-FBEF-4F6C-AE05-B4A413EF78D9,452
IMS-10061-CVDP-00676C5E-08F5-4CDB-8464-7E100E957C9E,0
IMS-10087-CVDP-9D390721-6506-498A-AF33-EE11A5203EC6,278
IMS-10267-CVDP-A82B2ED2-CFAE-47E4-8883-1127A903C543,202
IMS-10225-CVDP-F3EB37ED-554E-4D94-AA15-D444596DA28B,334
IMS-10013-CVDP-2BE695AC-8FB2-404E-8D22-055745677215,253
IMS-10087-CVDP-898CD09C-8A6A-410B-9B4D-03161C5459AD,125
IMS-10061-CVDP-23D22735-EE43-4906-A3DC-36FCC3D64D8C,0
IMS-10087-CVDP-47F6476D-7F6B-4BD1-A11A-47430D9D0465,637
IMS-10087-CVDP-7CBB6633-B47A-4A21-A570-8B4383376754,433
IMS-10087-CVDP-8CDCD669-80A6-457B-8DA2-CDD7C1CC1DB8,124
IMS-10267-CVDP-F90AF8D3-6693-48A7-AD86-76422A6BFD7A,1394
IMS-10261-CVDP-9775C166-9F30-46BB-84A9-FA52CCE1D72B,79
IMS-10087-CVDP-7E99681C-8ACA-4226-86CC-1BC1F7BEE94D,906
IMS-10116-CVDP-56DEB13D-8726-4253-B9E9-58A1A6E4E4DC,517
IMS-10116-CVDP-9D075190-68C4-4A57-992D-6944B3F9E413,397
IMS-10087-CVDP-007B4FC5-5CAB-4A7F-95A6-6EEA68AD66AF,464
IMS-10225-CVDP-1D80084B-9944-47B7-898E-10C3DAD6F61B,248
IMS-10186-CVDP-00021,12
IMS-10087-CVDP-F7EF4D87-959E-4119-81C0-5496A524DE4C,961
IMS-10013-CVDP-A1243406-5892-4863-A970-B505AB0EB57E,156
IMS-10020-CVDP-F30BBB92-D839-4AB0-B1AF-7C6D26567795,53
IMS-10267-CVDP-3C3D72C5-9F42-4618-8B5B-DF72AC7AB1A3,219
IMS-10225-CVDP-6DCF73E9-E1CF-496D-969A-9A26028F34C3,201
IMS-10186-CVDP-683B2A41-8686-4A0D-8A24-D9D850EF3902,272
IMS-10186-CVDP-EA2FB4DA-C736-472E-A3B0-9951F3559445,21
IMS-10186-CVDP-68758976-BD3A-4545-945B-0359A17B8E9C,59
IMS-10186-CVDP-D435ABD6-8D9E-429E-9702-C3BFF4F10784,735
IMS-10116-CVDP-57805B4D-AE8B-491F-8280-C45E408BC176,422
IMS-10116-CVDP-3E657607-0DC7-4248-A427-B1639274765D,259
IMS-10013-CVDP-4647CF93-817A-455F-AAB7-CBADBA3B2F85,36
IMS-10061-CVDP-C66F3100-8284-4DE6-9908-1CACCFA4587C,188
IMS-10087-CVDP-28A86878-332C-4E8E-941E-9D5EAD12AE9D,73
IMS-10267-CVDP-9DCF1A5E-E439-4E11-A187-8F27FD7D1F33,562
IMS-10061-CVDP-5369836A-C188-4E63-949A-BC79AC4E5C15,2
IMS-10087-CVDP-E3F5F487-56EB-4FA6-BD9E-F5F468B68C45,153
IMS-10116-CVDP-6B10FF2D-47CA-4D8C-8695-DA64775031C6,422
IMS-10116-CVDP-05095257-C75E-4CDA-A765-4E0FB56EE2E1,445
IMS-10186-CVDP-3D7D3DFE-78B8-435B-97B6-04C51F0F5A27,223
IMS-10087-CVDP-05229EBF-3AFF-4C93-A255-849534E3D62B,101
IMS-10087-CVDP-A9CF7880-901A-42CD-9085-AA0EC4B386D0,550
IMS-10225-CVDP-CD8138ED-A4C0-4C03-A75B-D57749F9A947,1576
IMS-10186-CVDP-9C8D3E7B-38EA-4F1D-B64B-FB6B23B2BC1D,17
IMS-10087-CVDP-91073F1A-818E-416E-A3D8-93341F1E0D06,158
IMS-10087-CVDP-BA98ED9A-3874-4033-BEED-927828A718D5,103
IMS-10225-CVDP-D4F1AC91-4760-4C74-8219-F0E084D5CE5D,327
IMS-10186-CVDP-1C48100E-EF08-4E08-ADA0-9CC103446405,777
IMS-10013-CVDP-183C3681-E515-4107-93C7-59EC83B25175,33
IMS-10116-CVDP-11CD79D2-31A0-4BF8-8182-D7140435A699,370
IMS-10267-CVDP-1F443588-EF35-42B7-9988-2C7E347536C5,503
IMS-10116-CVDP-64A49757-058E-4E61-985B-7B254DAFD488,1351
IMS-10061-CVDP-2DFFB40F-BB2A-4AF9-BE5E-47A76F0868CC,1
IMS-10186-CVDP-E4CA3225-A855-4774-AE96-EBB71271C00C,303
IMS-10087-CVDP-C721CA70-AA8C-4EF1-83CF-AE216B7A3B7D,133
IMS-10087-CVDP-3ADA620F-1773-493F-817D-C6331A9BD9C0,236
IMS-10186-CVDP-DA7B9F8C-50CB-4CC6-B3B8-F5E067A17ECE,298
IMS-10280-CVDP-8C97D547-1724-4DEA-9521-9F6CCEF0E3CD,190
IMS-10087-CVDP-73CD33FE-9757-46AB-ADD0-07D0F31C31AA,408
IMS-10116-CVDP-F7B54D0A-49DE-40BA-A0C6-D4B573B23DC2,121
IMS-10186-CVDP-7A24ABA3-0CFC-4107-A2C3-5493CCD69618,473
IMS-10020-CVDP-74DF0345-2E5D-41AA-AF1E-7E289ED7F168,48
IMS-10116-CVDP-05F96666-B2FA-45F3-A484-28629D6E3028,422
IMS-10116-CVDP-254AD768-7EAD-4668-B564-340B525AEEED,844
IMS-10087-CVDP-6E32AFD7-D947-43A0-B9C0-AFDE5A6AE598,1030
IMS-10225-CVDP-4ED92F54-498C-41D0-81BC-F03B79CF483F,857
IMS-10087-CVDP-593C8A6D-AB4C-4B46-ACB2-52C91301C992,126
IMS-10087-CVDP-6557EF5B-64C7-49C1-A224-4A58E046A44D,556
IMS-10227-CVDP-F01D7BD3-FC1A-45D9-993A-910BCA8AB13C,122
IMS-10186-CVDP-6EFA7109-4EA2-439C-8CF4-10C17E0970E9,215
IMS-10116-CVDP-110D7711-BB93-47AB-8F5D-FFD9048792A2,71
IMS-10225-CVDP-2804A309-7D42-4761-A278-73F95BAC3E8D,1122
IMS-10227-CVDP-98C38F29-05A9-4FF5-9F54-B8F949A3EADC,0
IMS-10116-CVDP-F4F18EBB-324A-44FC-A8D8-E3E2F496C9EE,124
IMS-10280-CVDP-2985E508-9364-4D7A-AA09-6882A7E032AF,1088
IMS-10267-CVDP-CD81019F-E7AE-4EC5-88C0-F957579D190D,385
IMS-10116-CVDP-AD9F87F1-5B1D-4821-B724-12F5F37D22AE,259
IMS-10186-CVDP-787C19C3-A7CC-47F0-8311-5E4EAD313797,369
IMS-10087-CVDP-EBF5880F-34BE-4388-80D7-1395E49A1C71,44
IMS-10186-CVDP-D1A89869-A9FE-44B2-AE7F-83F8343C88F9,1270
IMS-10267-CVDP-30525CB4-56CF-4B82-9FCB-6A427C0D741D,511
IMS-10186-CVDP-512A02C2-FB7F-4690-9238-4DE332B629B1,334
IMS-10087-CVDP-20FFF566-AB57-4464-98F2-748B3C6D5AF9,725
IMS-10087-CVDP-CFAE034A-0979-468F-8936-F79FC1F493BC,275
IMS-10116-CVDP-75BDBC1B-5A35-40FA-A9FB-CD4D5960573C,371
IMS-10116-CVDP-9968C128-8AB5-421E-BD1A-4CC016CC8373,607
IMS-10267-CVDP-7ED09F99-5FA4-449F-A8CB-5431FC6CCE52,412
IMS-10087-CVDP-7084CA5A-2578-4C21-AF45-F5AF151193E4,424
IMS-10087-CVDP-7832EF84-07AB-4C28-83A1-F20F6BF7E2F3,129
IMS-10116-CVDP-23CAC5E8-774F-4823-AE00-2547AEDB7E7F,253
IMS-10264-CVDP-843EFCD9-462E-4775-98B9-FDAB60185CEB,452
IMS-10267-CVDP-7C519932-7584-4E15-91BF-B4F4433FE689,652
IMS-10116-CVDP-2573863D-5052-4EF0-85E9-72BB7A741C50,553
IMS-10594-CVDP-A49FCBB3-D3E6-4997-88A9-BF8E9A7325DE,242
IMS-10087-CVDP-D9F45DB3-AC59-4EF6-97E4-C991F2F1CAEF,510
IMS-10225-CVDP-885C9A69-5BA1-4445-B7E1-0EBD8831F25F,1415
IMS-10116-CVDP-D51958E4-812B-4533-99F4-E6AA8A5C0027,255
IMS-10594-CVDP-3B44E9B1-A068-4350-AD29-62B1C3841C40,53
IMS-10267-CVDP-87F7F0E2-6762-4A0F-924B-6EF5DE5630D4,377
IMS-10087-CVDP-C5C56FD0-8D26-4B74-9C83-D2C2CFA62ABD,501
IMS-10261-CVDP-21841F71-2134-41CA-9E92-99590DF8CD5B,437
IMS-10116-CVDP-7A1BCC93-15F3-498C-B952-07C4797AA6F4,253
IMS-10116-CVDP-35403F99-BA6C-4086-84F0-46F30FF9EDE8,424
IMS-10061-CVDP-C1FF9063-AF40-4CA8-AC56-A9F23F3460AF,760
IMS-10267-CVDP-10FFAFF0-5BF9-4771-AAD2-D5C6A87A0E7A,174
IMS-10087-CVDP-5EBCD45D-A3F6-4D1F-BC89-56707683CDAF,340
IMS-10087-CVDP-D894671D-CA63-4C07-BA3F-EA466E7AC1E0,124
IMS-10227-CVDP-2AC8CC12-A1A1-48C3-B420-F573DD04A6E8,262
IMS-10267-CVDP-8E9A7EF0-DDBF-4184-A2F3-51AD55D27F7A,350
IMS-10225-CVDP-39D41EC8-9859-491E-B3A3-E644A3503B2D,417
IMS-10186-CVDP-8D8D5B3D-162F-46F8-89E6-0A3F13917AED,338
IMS-10087-CVDP-619C84F8-005E-4871-A9A7-059ECE41FE2C,641
IMS-10061-CVDP-1070E3A6-3FE4-4A94-A751-D3DE4D738579,685
IMS-10116-CVDP-B308E75A-4E6A-4F84-9EF1-9D739ED6BA18,546
IMS-10186-CVDP-0B72DEC4-4B5E-4862-807D-7905BFDCA7F3,823
IMS-10116-CVDP-1349954A-8305-496C-B03C-6BC8265694FC,827
IMS-10267-CVDP-993E1128-3447-481A-A64B-815307EF8D23,598
IMS-10116-CVDP-43D8CAB5-3BB8-4336-959B-8C920E0F5818,349
IMS-10280-CVDP-24D7C232-DC67-4BF5-AD81-E25FC3D3994C,1087
IMS-10280-CVDP-EEC3A92A-5A8B-4E5C-8DC0-09A74F81802B,191
IMS-10186-CVDP-5D6E9D60-9026-4A9B-BA2C-1F47DC7F0103,32
IMS-10225-CVDP-1184D93C-3EC9-4D00-850D-878B99CE7BA4,392
IMS-10087-CVDP-D6CE55B1-3680-48FA-98C9-79606E2E9310,180
IMS-10087-CVDP-73345463-3D99-4135-9C75-31A8C339BF1F,127
IMS-10087-CVDP-2BB57869-3D34-49F0-A5E7-2109456C25E6,378
IMS-10087-CVDP-F57C2D08-9B6A-4DA5-A44B-448108996593,454
IMS-10225-CVDP-0AD11BE2-0B51-4761-A9CF-A464E9D5F174,1141
IMS-10261-CVDP-14506E7F-A811-46E1-904C-D36B23A87C0F,61
IMS-10225-CVDP-4BDF0A2A-96C4-45C7-97DC-10B41455ED8C,997
IMS-10116-CVDP-39BA2DF7-9309-4358-8F6B-9DDBAD3990BE,416
IMS-10061-CVDP-F993F562-55D8-47F1-A7F4-1DA6A519356D,0
IMS-10087-CVDP-D7704B50-07AB-42BF-9B1B-8C9EC6F38BAC,571
IMS-10087-CVDP-19C3809A-E44D-48D3-A8EA-CF1E2899B9DA,151
IMS-10013-CVDP-DD300C51-AEFA-4D69-98BF-02AE69C19A8E,262
IMS-10013-CVDP-E7E4C7AA-480C-48CE-AF2E-F63ED3077643,4
IMS-10267-CVDP-3A01545E-3F5D-489D-B30C-CA8AEB46B92F,474
IMS-10280-CVDP-5579AE4D-F108-422B-88E7-C1547ACC5949,1086
IMS-10087-CVDP-533AEF5E-DA08-4D74-9E0D-2D465566B29A,340
IMS-10116-CVDP-8E1FD0E4-F62E-42DA-A960-487901815334,1403
IMS-10186-CVDP-130E1F8A-AF2D-47B7-AC82-341A3A5F0EB9,21
IMS-10267-CVDP-316B753C-7DF3-4EAD-B084-25EAC6E1E1F9,614
IMS-10087-CVDP-531F57C8-1381-47A3-B05A-07D7F778ABF7,1342
IMS-10227-CVDP-1EFD7307-5C5E-4CD3-8DF0-2CD50B9D12ED,0
IMS-10087-CVDP-865073FC-3DC0-4266-811E-9244CF5796D5,270
IMS-10061-CVDP-CCA139BD-718B-4826-9996-42048F1B39F5,275
IMS-10116-CVDP-40626C05-0931-4921-87A8-9F5E20E57654,389
IMS-10116-CVDP-FA4F32F6-189F-4CA9-82EE-61D9F97DEB6C,869
IMS-10225-CVDP-03129930-6E2B-447D-AB62-5B92ABD340EE,243
IMS-10227-CVDP-2DC0C07E-6F8E-4411-BFDC-2AAA5F1F98FE,261
IMS-10261-CVDP-3BA51289-379A-4B20-A72E-E3FFD2B328B1,60
IMS-10186-CVDP-37439F02-2D8F-48AB-8E4E-07A7FE1A212C,10
IMS-10186-CVDP-A4E2C107-CBCD-4911-846B-C5CC8856F203,403
IMS-10116-CVDP-0B1137E9-868E-4F05-87B4-C9A01D547F84,259
IMS-10061-CVDP-EB7DFDB3-6C2C-4A9B-84A8-3629386ED074,0
IMS-10061-CVDP-70A578BB-2441-46B5-9313-0959CB89FE5D,178
IMS-10013-CVDP-1CB943AC-F857-4270-BA49-9793284DDE2E,370
IMS-10013-CVDP-3F738F65-EA8D-4988-86AD-D16B75B3BBC3,31
IMS-10267-CVDP-A4FD1AE1-8C79-4B77-90E6-84199DE9C3F7,400
IMS-10116-CVDP-00EB8FBC-289D-4B3C-9BB3-758D08166A6B,1539
IMS-10087-CVDP-5FE2DFD5-2ED3-4F1E-8D24-352229E6318C,473
IMS-10116-CVDP-DEEEAB92-F0FC-4CED-813D-4720C0991FEE,253
IMS-10267-CVDP-CFEAAB8F-A0C6-4C0D-823A-9D9B85F084AA,443
IMS-10186-CVDP-778D95CC-D542-49D7-8DA7-567584321657,116
IMS-10087-CVDP-ABF5B0F9-9BB0-4F9E-9453-88380BD12BBE,839
IMS-10186-CVDP-AA120F15-C7A3-4C0D-BD8D-2FD95E901E83,33
IMS-10087-CVDP-5FE8F672-71B7-48FE-9AAB-FEA41C982922,310
IMS-10013-CVDP-6B7C0EA4-61FF-4FD6-A81D-12A651A14B10,488
IMS-10087-CVDP-3BE2A7A8-ACBF-4B97-8BCA-6C142F9A236A,585
IMS-10087-CVDP-60C28581-983F-43B0-B210-9E7B83BC7C20,164
IMS-10267-CVDP-1034DDA4-910B-4C75-841F-BCF9C9AD02F2,332
IMS-10020-CVDP-1A34C9C8-DD48-4532-87A0-CE89DB42F304,64
IMS-10186-CVDP-19F2D754-81B9-4C33-968A-5651AA84A6B7,22
IMS-10087-CVDP-AF4EAE6C-A771-45E2-8264-83DE855A1D3C,182
IMS-10061-CVDP-E51E816C-B1EB-4646-9A65-716D86230719,281
IMS-10013-CVDP-39540798-7F8D-4B9C-85FF-84A4DCE3F8DC,251
IMS-10087-CVDP-031E8A16-BDDF-4780-8850-37B79A99F2EE,989
IMS-10186-CVDP-D8A33430-A850-4083-AC47-6A8545A46227,1243
IMS-10116-CVDP-EA89F8E5-1480-4894-9305-0EE3FDA5244C,259
IMS-10087-CVDP-CDB64B82-9818-4AFE-8620-0AD62368B724,448
IMS-10261-CVDP-45962A8E-3AE3-484E-BAAA-BBA918FFFBCF,652
IMS-10061-CVDP-97AC0DD9-192C-4F36-8190-1BDD03E6AA54,94
IMS-10116-CVDP-4C2EEC43-2D7A-4524-AFCC-7E144DF40688,253
IMS-10227-CVDP-08B65F46-95DC-4119-882F-FD4727344243,0
IMS-10186-CVDP-A6C88FB1-8712-4A7B-B4A8-EB948EC3A837,846
IMS-10116-CVDP-1DECA9E7-6BE7-473C-AAA7-4C0D93D641A1,436
IMS-10594-CVDP-692FCF49-4437-4FD7-B7C5-74AB3316E54D,239
IMS-10116-CVDP-D714883E-CE82-4D57-808C-FEB56503DFBA,415
IMS-10116-CVDP-FA731953-43F9-461B-9B83-1FF76B0A4EC8,256
IMS-10267-CVDP-643F86FC-EE0A-44D9-AF14-2F51A6395D65,762
IMS-10087-CVDP-5C7A1DDE-B34C-444B-97BC-CF4549A18A91,359
IMS-10013-CVDP-9BC0398A-1A0B-45C3-B8BF-3482B6C4AC8C,43
IMS-10267-CVDP-57122E24-EF4A-418F-89E0-B0CA75743EC5,356
IMS-10267-CVDP-2E7ED03C-3318-433D-B131-764BEAE6C759,401
IMS-10186-CVDP-518647CE-D823-4E4A-8708-47FA232DB14E,774
IMS-10261-CVDP-6EEDC6F2-E82B-480A-99C1-820E16FCA906,503
IMS-10116-CVDP-D44900B3-F9DC-492C-92FF-E5899609CA99,249
IMS-10267-CVDP-3ABEB528-552F-4A50-897B-A6AFD245BD48,280
IMS-10087-CVDP-21D413A6-8034-47DE-881C-EBEC428892FF,419
IMS-10116-CVDP-F43121F0-92DB-401F-9BE2-52C0F0EC2C66,253
IMS-10087-CVDP-404BAA66-64D1-4518-BC6C-042029399B1F,955
IMS-10227-CVDP-A9567067-4AA0-4153-9C80-D3EEB389002E,1483
IMS-10116-CVDP-ECF37F23-57B0-4E8F-8812-70B4516C3FEC,251
IMS-10186-CVDP-85029BC7-14A3-4201-A164-E7156A4FE125,160
IMS-10087-CVDP-9B20D6DD-F525-4E84-A7C8-A90C608C5783,309
IMS-10225-CVDP-835DAD7A-05C1-4A45-B17A-084A4367A47B,1459
IMS-10267-CVDP-FE29D029-79D0-45A5-B04D-450EE6DB6DFD,329
IMS-10087-CVDP-583E3E4F-5CC1-46AB-8846-E5EE416347A5,1187
IMS-10087-CVDP-30467E4A-B9B0-47FF-91A8-7D6F1FD3D0EA,165
IMS-10341-CVDP-114A12FA-C440-43BF-995A-5D753751EB05,73
IMS-10227-CVDP-F8C5E671-5ED0-464A-B15C-D8F55EFC25CA,268
IMS-10087-CVDP-4651FD36-2BBE-4629-BE7A-0FDCD06B86E9,135
IMS-10087-CVDP-3D93C61F-98C4-439F-99BA-7B8D0EA28202,106
IMS-10061-CVDP-5996E003-6813-437E-8AD7-8637AB3A6610,0
IMS-10116-CVDP-140B2B52-C56D-4CD9-8733-D2BFB6E9473E,259
IMS-10225-CVDP-6A8FEB45-1CDC-4082-BAD8-0C1EF8CA8120,544
IMS-10225-CVDP-825C9270-1FD3-4685-9B26-544182743441,608
IMS-10087-CVDP-13BF7CDD-F004-40E8-B250-26383969C614,129
IMS-10267-CVDP-5310FB22-3E3D-46B9-9E22-CABEC133BDBA,510
IMS-10186-CVDP-1DF27EF9-85B4-445D-AA38-6652E6993A3C,235
IMS-10087-CVDP-46D1F0B3-FD59-447E-AEBA-606293DFBA71,128
IMS-10267-CVDP-B3C76365-F5D6-4A75-AB41-792C9B88D2ED,862
IMS-10087-CVDP-F9D2848B-C099-477C-BF56-2E77C1579C14,457
IMS-10087-CVDP-669086F8-0A93-43CD-BA4D-75D62F881353,125
IMS-10267-CVDP-0D6CC54B-EF36-46A1-95C3-C1BFE72AA353,431
IMS-10186-CVDP-339737F8-6B63-4142-AA8F-2BD16E5D0C0F,179
IMS-10087-CVDP-58FB0E0C-287E-48F9-A675-62120CA1F227,303
IMS-10186-CVDP-458F64C9-B02C-46B1-BC4B-1FC019C3DAF0,110
IMS-10267-CVDP-8CC14FE3-C824-470C-8B72-78B316CC9D92,407
IMS-10227-CVDP-65595635-8A6A-41F2-8FA9-246F5DFEA9D3,113
IMS-10227-CVDP-A0109D95-D0D3-4A1E-98EB-C515D7456C48,46
IMS-10087-CVDP-73566261-BB55-427D-9E0B-41B24CE0FD44,81
IMS-10186-CVDP-01969F9E-DDF5-419F-BF06-613BD2CEFFB1,141
IMS-10264-CVDP-1E959AB4-5848-4C45-AB41-90B9389DDEB4,267
IMS-10261-CVDP-2589A696-5A0F-43B8-97B9-CC8BEE302173,175
IMS-10227-CVDP-D8736582-489D-44C7-B80D-7BFEDD612800,12
IMS-10061-CVDP-9F281325-EE1A-4FA0-A0F4-49BF57A66209,294
IMS-10116-CVDP-33451F47-D76E-4169-A967-9E04975ECCC4,88
IMS-10013-CVDP-4E65E8E5-EA98-4762-B1D8-D72F9A17B8BE,12
IMS-10116-CVDP-E93A81D3-3876-4F5A-8848-59FEC25870AF,249
IMS-10087-CVDP-2501E619-70BE-4281-A7A2-69C7393ECFEF,363
IMS-10267-CVDP-2C989EFD-0374-415D-9E1D-109367FD9528,377
IMS-10267-CVDP-DEA50A5E-F12B-4044-A33B-3EEDEDCB5C13,485
IMS-10061-CVDP-8704178C-F161-411A-8E16-A67A8C832739,389
IMS-10087-CVDP-7C7C3085-11F1-4840-9DC8-28142E923347,340
IMS-10087-CVDP-2B4CCC10-7D85-4019-892C-797689F8A26A,1240
IMS-10087-CVDP-5C370EFC-F839-4C0C-914F-3C7BED63D6E3,127
IMS-10267-CVDP-2F59043F-AB85-4AEE-A074-B077FA356A80,230
IMS-10087-CVDP-7C093E2A-9BBA-48F0-82F6-7A2F50DD3FAF,63
IMS-10116-CVDP-8730A576-2E38-4CF6-953E-458499231F4B,445
IMS-10227-CVDP-7B532A0E-2164-4FBC-B7C4-D31DA8112BFD,380
IMS-10087-CVDP-5DE304C3-C012-49DD-A6FB-25F039BF022C,848
IMS-10013-CVDP-D887DC18-BD7F-4355-A125-9DC8E8A559E9,248
IMS-10186-CVDP-965DD21C-46E1-465A-98F8-EFB176D4BD60,896
IMS-10186-CVDP-E45973F2-4280-49AD-8EDB-00B357712B9D,828
IMS-10087-CVDP-F7807472-87F8-4F0D-815B-3790BFC6D091,628
IMS-10264-CVDP-88ED9B11-04F8-49F7-B2AE-0B0D8237D374,550
IMS-10116-CVDP-D1B68947-D7FF-4835-BC2F-4B4A2CAAD9CA,349
IMS-10087-CVDP-4943FE28-DE88-4C10-B85C-E14448714CD3,164
IMS-10061-CVDP-27D48353-916F-4828-B88F-B62606DF1AAE,264
IMS-10267-CVDP-361F29E1-C483-4D81-948B-254B6D111B26,384
IMS-10013-CVDP-062692FC-C76A-42B9-AE96-179D796A6645,33
IMS-10087-CVDP-BB9BF50F-2484-40F5-B83A-8FA1F642B7F7,363
IMS-10186-CVDP-2C3EFBE0-B82C-4041-9E36-A931FAF2CD1B,135
IMS-10267-CVDP-0FB38F96-D25D-459B-BF47-74DBE609E937,411
IMS-10061-CVDP-274B796B-2135-4702-9A0E-BBD235B924F3,0
IMS-10087-CVDP-8FA5C1DA-517A-49F9-93E8-AC1495A6FADF,728
IMS-10013-CVDP-A1915ECD-CD0D-4FD9-A505-D2FC35479B03,113
IMS-10061-CVDP-88D1B5E7-A09D-42A6-B392-DC13EEA6B16C,57
IMS-10594-CVDP-EB28D9CE-5B84-495B-B0E2-C7C1B328F7AB,846
IMS-10186-CVDP-103DC2D6-8391-4FED-9303-C07740A47BDC,640
IMS-10116-CVDP-33E83A39-9940-4EB3-9565-1DEF0AD25E67,732
IMS-10341-CVDP-1784D038-2502-4CFD-9637-BE0B4A137C44,100
IMS-10186-CVDP-6B7CC52C-9C4E-4584-BA41-3AC9F6B20B58,560
IMS-10013-CVDP-80115B69-8EDF-451E-8BC7-6835F479ADFD,48
IMS-10087-CVDP-6DADFBE4-A120-4C41-AB10-16ABB4FB2908,104
IMS-10116-CVDP-44659466-7F69-4DAE-BB16-6ECA4AF8CC87,616
IMS-10261-CVDP-FBF319A4-E41E-40C4-8447-051D3419251C,235
IMS-10116-CVDP-3B3E08C0-CBBC-44B7-90F4-D779912F478E,259
IMS-10186-CVDP-DAF0B21E-3519-4A78-8497-D3B5B9F7AE28,236
IMS-10227-CVDP-EC5C9BAC-FCA5-4BD4-B64E-79B1E9CC681B,0
IMS-10061-CVDP-9C78D326-CAB3-4193-AC22-91BC94FE342A,0
IMS-10261-CVDP-77B13EAA-E38A-48AA-99DA-21D35C71060B,26
IMS-10267-CVDP-3AE782D3-0FB2-40F7-BC1E-F6F8122DF96C,345
IMS-10116-CVDP-088991D3-16E7-466E-A7DB-0D242F638EB8,253
IMS-10261-CVDP-046BD8BB-5900-4C42-9134-6E771B03AF1A,239
IMS-10267-CVDP-F5473588-E106-4C20-946E-FC453E9690DD,369
IMS-10225-CVDP-0EBD80ED-1738-4C58-B605-B2BB38737132,409
IMS-10186-CVDP-39B7F0F1-DE45-4C64-A3B0-4DB00651988B,78
IMS-10227-CVDP-3769E575-1744-426B-B6F5-0172C06852DC,73
IMS-10594-CVDP-5D772E09-FBE2-4BE3-889B-F7095BF68391,1
IMS-10087-CVDP-E76A5311-50CF-433A-A946-F0894305F861,328
IMS-10013-CVDP-D1538030-D67C-49A0-9C97-C05CF79D7812,251
IMS-10013-CVDP-70CFE030-51EE-4ABF-8BAF-E19B227770C9,34
IMS-10186-CVDP-FC142891-DA52-4CF0-B742-915046EA3334,431
IMS-10267-CVDP-A2A37E9B-7C67-41EF-8346-E1A18FB62088,529
IMS-10594-CVDP-71402B4A-1CF4-46C9-B9B5-0BA0A890AD41,623
IMS-10087-CVDP-C2A4DAFE-3D2C-4B64-8282-4C5A1A9CC18F,719
IMS-10116-CVDP-54E7FDB3-8582-47B1-8690-2A474FA3B58B,123
IMS-10061-CVDP-A92D7952-2389-411B-A725-B0FFC622B89E,0
IMS-10116-CVDP-B07783C7-DF7A-40B0-9672-3ACDB826399D,256
IMS-10116-CVDP-26134901-5084-4B59-A8BD-7B454F85F205,416
IMS-10261-CVDP-41A90548-0673-4D32-A52B-0400D4E8FC5D,535
IMS-10116-CVDP-45AC20B7-470F-46E1-82CA-CF7C5A33D5F4,432
IMS-10061-CVDP-E138BA82-B426-4EBB-A40C-A3A1ABD79B7E,0
IMS-10259-CVDP-2E9358FE-C2E7-4AB4-A466-61832DA11671,36
IMS-10227-CVDP-4958002E-6918-4DE4-B5E6-814A664EF3AE,75
IMS-10087-CVDP-4C909B04-E239-4BB6-B429-B84C27387755,1231
IMS-10013-CVDP-3013AC15-813F-452C-9810-2A499C8B8E84,263
IMS-10061-CVDP-BF764D1A-07F1-4918-BBA8-1229B13FB8E8,284
IMS-10013-CVDP-5D4183D4-C113-4CAE-8A02-80593E431F05,31
IMS-10225-CVDP-00428,3
IMS-10227-CVDP-9EE35FDA-AE0E-4667-BDA6-1E308DF222C3,0
IMS-10013-CVDP-683E82CB-36F6-4D23-B0C9-6D5210FE96DF,32
